# meta_json: {"atom_symbols": ["B", "B", "B", "B"], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 1}
# omega_qe	freq_thz	freq_cm^-1	transmission
6.6405033796e-03	21.84620666	728.71101565	1.999493970243e+00
6.7442612449e-03	22.18755363	740.09712527	1.999278456302e+00
6.8480191102e-03	22.52890061	751.48323489	1.998698878836e+00
6.9517769755e-03	22.87024759	762.86934451	1.998385389532e+00
7.0555348408e-03	23.21159457	774.25545413	1.998424444487e+00
7.1592927061e-03	23.55294155	785.64156375	1.998724523810e+00
7.2630505715e-03	23.89428853	797.02767337	1.999133239242e+00
7.3668084368e-03	24.23563551	808.41378299	1.999496873887e+00
7.4705663021e-03	24.57698249	819.79989261	1.999704656547e+00
7.5743241674e-03	24.91832947	831.18600223	1.999721972619e+00
7.6780820327e-03	25.25967645	842.57211185	1.999601625464e+00
7.7818398980e-03	25.60102342	853.95822147	1.999455938141e+00
7.8855977633e-03	25.94237040	865.34433109	1.999385582509e+00
7.9893556286e-03	26.28371738	876.73044071	1.999412422714e+00
8.0931134939e-03	26.62506436	888.11655033	1.999485741239e+00
8.1968713592e-03	26.96641134	899.50265995	1.999537415139e+00
8.3006292245e-03	27.30775832	910.88876957	1.999512963145e+00
8.4043870898e-03	27.64910530	922.27487919	1.999370237257e+00
8.5081449551e-03	27.99045228	933.66098881	1.999070377182e+00
8.6119028204e-03	28.33179926	945.04709843	1.998573624846e+00
8.7156606857e-03	28.67314624	956.43320805	1.997841611438e+00
8.8194185511e-03	29.01449321	967.81931767	1.996841486541e+00
8.9231764164e-03	29.35584019	979.20542729	1.995533355801e+00
9.0269342817e-03	29.69718717	990.59153691	1.993753272176e+00
9.1306921470e-03	30.03853415	1001.97764653	1.881268029320e+00
9.2344500123e-03	30.37988113	1013.36375615	1.444820109001e+00
9.3382078776e-03	30.72122811	1024.74986576	1.787582884724e+00
9.4419657429e-03	31.06257509	1036.13597538	1.972520605957e+00
9.5457236082e-03	31.40392207	1047.52208500	1.992904024201e+00
9.6494814735e-03	31.74526905	1058.90819462	1.993313476790e+00
9.7532393388e-03	32.08661603	1070.29430424	1.994005691924e+00
9.8569972041e-03	32.42796300	1081.68041386	1.995190378854e+00
9.9607550694e-03	32.76930998	1093.06652348	1.996729208706e+00
1.0064512935e-02	33.11065696	1104.45263310	1.998302453107e+00
1.0168270800e-02	33.45200394	1115.83874272	1.999236974114e+00
1.0272028665e-02	33.79335092	1127.22485234	1.998965386413e+00
1.0375786531e-02	34.13469790	1138.61096196	1.998403197475e+00
1.0479544396e-02	34.47604488	1149.99707158	1.998914114624e+00
1.0583302261e-02	34.81739186	1161.38318120	1.999277318383e+00
1.0687060127e-02	35.15873884	1172.76929082	1.999369484332e+00
1.0790817992e-02	35.50008582	1184.15540044	1.999352376999e+00
1.0894575857e-02	35.84143279	1195.54151006	1.999272802166e+00
1.0998333722e-02	36.18277977	1206.92761968	1.999145671201e+00
1.1102091588e-02	36.52412675	1218.31372930	1.998996107650e+00
1.1205849453e-02	36.86547373	1229.69983892	1.998878172182e+00
1.1309607318e-02	37.20682071	1241.08594854	1.998893856513e+00
1.1413365184e-02	37.54816769	1252.47205816	1.997872936829e+00
1.1517123049e-02	37.88951467	1263.85816778	1.988253968211e+00
1.1620880914e-02	38.23086165	1275.24427740	1.655270375557e+00
