# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
1.3162625210e-03	4.33029567	144.44311579	9.235956200846e-01	1.255128791479e+19
1.3549761246e-03	4.45765731	148.69144272	9.915837823760e-01	1.347521932066e+19
1.3936897281e-03	4.58501895	152.93976966	1.086944986604e+00	1.477113920610e+19
1.4324033317e-03	4.71238058	157.18809659	1.222565944139e+00	1.661417272453e+19
1.4711169353e-03	4.83974222	161.43642353	1.293498204136e+00	1.757811321787e+19
1.5098305388e-03	4.96710386	165.68475046	1.362731921416e+00	1.851897120821e+19
1.5485441424e-03	5.09446550	169.93307740	1.470222558352e+00	1.997972513881e+19
1.5872577459e-03	5.22182713	174.18140433	1.564378490456e+00	2.125926586748e+19
1.6259713495e-03	5.34918877	178.42973127	1.755553903136e+00	2.385726178105e+19
1.6646849531e-03	5.47655041	182.67805820	1.730464017466e+00	2.351630046428e+19
1.7033985566e-03	5.60391205	186.92638514	1.695814721920e+00	2.304543066479e+19
1.7421121602e-03	5.73127368	191.17471207	1.620839628569e+00	2.202654971448e+19
1.7808257637e-03	5.85863532	195.42303901	1.444772252665e+00	1.963386586095e+19
1.8195393673e-03	5.98599696	199.67136594	1.397766382924e+00	1.899507525609e+19
1.8582529709e-03	6.11335860	203.91969288	1.211773414857e+00	1.646750665184e+19
1.8969665744e-03	6.24072023	208.16801981	1.016699098161e+00	1.381652622233e+19
1.9356801780e-03	6.36808187	212.41634675	1.089017553986e+00	1.479930455180e+19
1.9743937815e-03	6.49544351	216.66467368	8.117007842460e-01	1.103068271675e+19
2.0131073851e-03	6.62280515	220.91300062	6.961500996059e-01	9.460396024035e+18
2.0518209887e-03	6.75016678	225.16132755	7.760808309673e-01	1.054662207442e+19
2.0905345922e-03	6.87752842	229.40965449	7.467192679918e-01	1.014761040468e+19
2.1292481958e-03	7.00489006	233.65798142	7.645689659833e-01	1.039018052283e+19
2.1679617993e-03	7.13225170	237.90630836	9.231928330799e-01	1.254581420362e+19
2.2066754029e-03	7.25961333	242.15463529	9.165138145971e-01	1.245504906556e+19
2.2453890065e-03	7.38697497	246.40296223	7.861839788648e-01	1.068391973516e+19
2.2841026100e-03	7.51433661	250.65128916	6.589676223454e-01	8.955101317853e+18
2.3228162136e-03	7.64169825	254.89961610	4.470729029342e-01	6.075538473336e+18
2.3615298171e-03	7.76905988	259.14794303	2.844241483570e-01	3.865208212682e+18
2.4002434207e-03	7.89642152	263.39626997	1.356019409982e-01	1.842775091459e+18
2.4389570243e-03	8.02378316	267.64459690	8.083607361814e-02	1.098529282533e+18
2.4776706278e-03	8.15114480	271.89292384	4.994519599924e-02	6.787348503123e+17
2.5163842314e-03	8.27850643	276.14125077	5.695148221238e-76	7.739474233933e-57
2.5550978349e-03	8.40586807	280.38957771	4.070049315925e-87	5.531031079045e-68
2.5938114385e-03	8.53322971	284.63790464	9.586352178586e-97	1.302746176243e-77
2.6325250421e-03	8.66059134	288.88623158	2.589591461296e-105	3.519149214831e-86
2.6712386456e-03	8.78795298	293.13455851	4.400510700910e-113	5.980114627891e-94
