# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1
1.6514003936e-01	5.2565707134e-02	0.000000000000e+00	0.000000000000e+00	4.399570315798e-04	4.727339363775e-03	4.885866650379e-03	5.114982719581e-03	0.00000000	0.00000000	48.27970366	518.76553210	536.16189099	561.30447341
1.6907194506e-01	5.3817271589e-02	0.000000000000e+00	0.000000000000e+00	4.420827775915e-04	4.727353854709e-03	4.886125259262e-03	5.114973597273e-03	0.00000000	0.00000000	48.51297732	518.76712229	536.19027004	561.30347235
1.7300385076e-01	5.5068836045e-02	0.000000000000e+00	0.000000000000e+00	4.442475263776e-04	4.727368676351e-03	4.886389880307e-03	5.114964259988e-03	0.00000000	0.00000000	48.75053104	518.76874878	536.21930884	561.30244770
1.7693575646e-01	5.6320400501e-02	0.000000000000e+00	1.754520576497e-05	4.464506772821e-04	4.727383827994e-03	4.886660508456e-03	5.114954707703e-03	0.00000000	1.92536378	48.99229891	518.77041148	536.24900685	561.30139946
1.8086766216e-01	5.7571964956e-02	0.000000000000e+00	3.442442752542e-05	4.486916307318e-04	4.727399308913e-03	4.886937138537e-03	5.114944940395e-03	0.00000000	3.77764427	49.23821513	518.77211032	536.27936349	561.30032762
1.8479956786e-01	5.8823529412e-02	0.000000000000e+00	4.562181788035e-05	4.509697887169e-04	4.727415118369e-03	4.887219765266e-03	5.114934958042e-03	0.00000000	5.00641583	49.48821407	518.77384520	536.31037819	561.29923218
1.8873147356e-01	6.0075093867e-02	0.000000000000e+00	5.474257725440e-05	4.532845552481e-04	4.727431255606e-03	4.887508383243e-03	5.114924760621e-03	0.00000000	6.00730348	49.74223033	518.77561606	536.34205035	561.29811314
1.9266337926e-01	6.1326658323e-02	0.000000000000e+00	6.269950395196e-05	4.556353367891e-04	4.727447719854e-03	4.887802986956e-03	5.114914348107e-03	0.00000000	6.88047526	50.00019879	518.77742280	536.37437937	561.29697050
1.9659528496e-01	6.2578222778e-02	0.000000000000e+00	6.989114532273e-05	4.580215426657e-04	4.727464510327e-03	4.888103570778e-03	5.114903720478e-03	0.00000000	7.66966668	50.26205462	518.77926534	536.40736463	561.29580426
2.0052719065e-01	6.3829787234e-02	0.000000000000e+00	7.653346023579e-05	4.604425854521e-04	4.727481626225e-03	4.888410128970e-03	5.114892877708e-03	0.00000000	8.39857649	50.52773335	518.78114360	536.44100550	561.29461440
2.0445909635e-01	6.5081351690e-02	0.000000000000e+00	8.275874658034e-05	4.628978813335e-04	4.727499066730e-03	4.888722655678e-03	5.114881819773e-03	0.00000000	9.08172270	50.79717093	518.78305747	536.47530135	561.29340093
2.0839100205e-01	6.6332916145e-02	0.000000000000e+00	8.865482531460e-05	4.653868504455e-04	4.727516831011e-03	4.889041144938e-03	5.114870546648e-03	0.00000000	9.72874255	51.07030372	518.78500688	536.51025150	561.29216385
