# omega_qe	freq_thz	freq_cm^-1	transmission
6.2254719184e-03	20.48081874	683.16657718	5.552531714915e-01
6.3292297837e-03	20.82216572	694.55268680	6.659700080952e-01
6.4329876490e-03	21.16351270	705.93879642	5.551231134349e-01
6.5367455143e-03	21.50485968	717.32490604	4.441571165599e-01
6.6405033796e-03	21.84620666	728.71101565	4.441458687083e-01
6.7442612449e-03	22.18755363	740.09712527	3.331610472670e-01
6.8480191102e-03	22.52890061	751.48323489	3.331414559266e-01
6.9517769755e-03	22.87024759	762.86934451	3.331280405753e-01
7.0555348408e-03	23.21159457	774.25545413	3.330999230393e-01
7.1592927061e-03	23.55294155	785.64156375	3.328443636339e-01
7.2630505715e-03	23.89428853	797.02767337	3.329703974806e-01
7.3668084368e-03	24.23563551	808.41378299	3.330967490892e-01
7.4705663021e-03	24.57698249	819.79989261	3.330932527831e-01
7.5743241674e-03	24.91832947	831.18600223	3.327982646900e-01
7.6780820327e-03	25.25967645	842.57211185	2.220521282185e-01
7.7818398980e-03	25.60102342	853.95822147	2.220253140808e-01
7.8855977633e-03	25.94237040	865.34433109	2.219270062703e-01
7.9893556286e-03	26.28371738	876.73044071	2.178883861537e-01
8.0931134939e-03	26.62506436	888.11655033	2.219619373010e-01
8.1968713592e-03	26.96641134	899.50265995	2.219986174027e-01
8.3006292245e-03	27.30775832	910.88876957	2.216976825540e-01
8.4043870898e-03	27.64910530	922.27487919	1.109467097933e-01
8.5081449551e-03	27.99045228	933.66098881	1.109705087963e-01
8.6119028204e-03	28.33179926	945.04709843	1.109828145451e-01
8.7156606857e-03	28.67314624	956.43320805	1.109118691271e-01
8.8194185511e-03	29.01449321	967.81931767	3.323726697798e-01
8.9231764164e-03	29.35584019	979.20542729	1.109933220948e-01
9.0269342817e-03	29.69718717	990.59153691	1.108694004312e-01
9.1306921470e-03	30.03853415	1001.97764653	1.109837800296e-01
9.2344500123e-03	30.37988113	1013.36375615	1.240329201580e-01
9.3382078776e-03	30.72122811	1024.74986576	1.109775814313e-01
9.4419657429e-03	31.06257509	1036.13597538	5.477420020796e-01
9.5457236082e-03	31.40392207	1047.52208500	2.221059959726e-01
9.6494814735e-03	31.74526905	1058.90819462	2.221216666574e-01
9.7532393388e-03	32.08661603	1070.29430424	2.221205617475e-01
9.8569972041e-03	32.42796300	1081.68041386	2.220646021626e-01
9.9607550694e-03	32.76930998	1093.06652348	5.106376551874e-01
1.0064512935e-02	33.11065696	1104.45263310	3.329838266676e-01
