# meta_json: {"atom_symbols": ["Sn", "Sn", "Sn", "Sn"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1}
# omega_qe	freq_thz	freq_cm^-1	transmission
9.4550339758e-04	3.11055675	103.75700482	5.261958536317e-10
9.6100345328e-04	3.16154948	105.45793932	1.560183898410e-01
9.7650350898e-04	3.21254222	107.15887383	1.388482515416e+00
9.9200356468e-04	3.26353495	108.85980833	1.392746373051e+00
1.0075036204e-03	3.31452769	110.56074284	1.394704120280e+00
1.0230036761e-03	3.36552042	112.26167734	1.296518334663e+00
1.0385037318e-03	3.41651315	113.96261185	1.391757139650e+00
1.0540037875e-03	3.46750589	115.66354636	1.294916321829e+00
1.0695038432e-03	3.51849862	117.36448086	1.481923488639e+00
1.0850038989e-03	3.56949135	119.06541537	1.292045538728e+00
1.1005039546e-03	3.62048409	120.76634987	1.264315813425e+00
1.1160040103e-03	3.67147682	122.46728438	1.439437584786e+00
1.1315040660e-03	3.72246955	124.16821888	1.432129168849e+00
1.1470041217e-03	3.77346229	125.86915339	1.332165495994e+00
1.1625041774e-03	3.82445502	127.57008789	1.552986375645e+00
1.1780042331e-03	3.87544776	129.27102240	1.550910365244e+00
1.1935042888e-03	3.92644049	130.97195690	1.664017008391e+00
1.2090043445e-03	3.97743322	132.67289141	1.664657074244e+00
1.2245044001e-03	4.02842596	134.37382591	1.663310391470e+00
1.2400044558e-03	4.07941869	136.07476042	1.775705811948e+00
1.2555045115e-03	4.13041142	137.77569492	1.775706717196e+00
1.2710045672e-03	4.18140416	139.47662943	1.994878095915e+00
1.2865046229e-03	4.23239689	141.17756393	1.886496428794e+00
1.3020046786e-03	4.28338962	142.87849844	2.106007377912e+00
1.3175047343e-03	4.33438236	144.57943294	1.880803475847e+00
1.3330047900e-03	4.38537509	146.28036745	1.354574697161e+00
1.3485048457e-03	4.43636783	147.98130195	8.876284733789e-01
1.3640049014e-03	4.48736056	149.68223646	8.848909893799e-01
1.3795049571e-03	4.53835329	151.38317097	7.762248751804e-01
1.3950050128e-03	4.58934603	153.08410547	8.760429437717e-01
1.4105050685e-03	4.64033876	154.78503998	7.459071568141e-01
1.4260051242e-03	4.69133149	156.48597448	6.651284619169e-01
1.4415051799e-03	4.74232423	158.18690899	8.862073461916e-01
1.4570052356e-03	4.79331696	159.88784349	1.108224962958e+00
1.4725052913e-03	4.84430969	161.58877800	1.330547858160e+00
1.4880053470e-03	4.89530243	163.28971250	1.963261774369e+00
1.5035054027e-03	4.94629516	164.99064701	1.885530725885e+00
1.5190054584e-03	4.99728789	166.69158151	1.747724187129e+00
1.5345055141e-03	5.04828063	168.39251602	1.774989070007e+00
1.5500055698e-03	5.09927336	170.09345052	1.772920814669e+00
1.5655056255e-03	5.15026610	171.79438503	1.664090563754e+00
1.5810056812e-03	5.20125883	173.49531953	1.663415957403e+00
1.5965057369e-03	5.25225156	175.19625404	1.553197895279e+00
