# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
1.2775489175e-03	4.20293403	140.19478885	8.550636022150e-01	1.161996573336e+19
1.3162625210e-03	4.33029567	144.44311579	9.078149656551e-01	1.233683525508e+19
1.3549761246e-03	4.45765731	148.69144272	9.871088686620e-01	1.341440706777e+19
1.3936897281e-03	4.58501895	152.93976966	1.101590098409e+00	1.497016030452e+19
1.4324033317e-03	4.71238058	157.18809659	1.198420735844e+00	1.628604918812e+19
1.4711169353e-03	4.83974222	161.43642353	1.330732273933e+00	1.808410904559e+19
1.5098305388e-03	4.96710386	165.68475046	1.375292463459e+00	1.868966385346e+19
1.5485441424e-03	5.09446550	169.93307740	1.459156053020e+00	1.982933584331e+19
1.5872577459e-03	5.22182713	174.18140433	1.539493943446e+00	2.092109501938e+19
1.6259713495e-03	5.34918877	178.42973127	1.754270596937e+00	2.383982217303e+19
1.6646849531e-03	5.47655041	182.67805820	1.721957408155e+00	2.340069911200e+19
1.7033985566e-03	5.60391205	186.92638514	1.696114278112e+00	2.304950151130e+19
1.7421121602e-03	5.73127368	191.17471207	1.568589982051e+00	2.131649832117e+19
1.7808257637e-03	5.85863532	195.42303901	1.450801290379e+00	1.971579802537e+19
1.8195393673e-03	5.98599696	199.67136594	1.462688151129e+00	1.987733561652e+19
1.8582529709e-03	6.11335860	203.91969288	1.199857599747e+00	1.630557558274e+19
1.8969665744e-03	6.24072023	208.16801981	1.043145709946e+00	1.417592489386e+19
1.9356801780e-03	6.36808187	212.41634675	1.062954123987e+00	1.444511316452e+19
1.9743937815e-03	6.49544351	216.66467368	8.182394797823e-01	1.111954092318e+19
2.0131073851e-03	6.62280515	220.91300062	7.092935463051e-01	9.639010105921e+18
2.0518209887e-03	6.75016678	225.16132755	7.364878515799e-01	1.000856962713e+19
2.0905345922e-03	6.87752842	229.40965449	7.546251111343e-01	1.025504758967e+19
2.1292481958e-03	7.00489006	233.65798142	7.463391775060e-01	1.014244512995e+19
2.1679617993e-03	7.13225170	237.90630836	9.281629830696e-01	1.261335651558e+19
2.2066754029e-03	7.25961333	242.15463529	9.168943568081e-01	1.246022047906e+19
2.2453890065e-03	7.38697497	246.40296223	7.708902003226e-01	1.047608352025e+19
2.2841026100e-03	7.51433661	250.65128916	6.617743159924e-01	8.993243140190e+18
2.3228162136e-03	7.64169825	254.89961610	4.307413196735e-01	5.853598915426e+18
2.3615298171e-03	7.76905988	259.14794303	2.580164282232e-01	3.506338062840e+18
2.4002434207e-03	7.89642152	263.39626997	1.356965807467e-01	1.844061207056e+18
2.4389570243e-03	8.02378316	267.64459690	8.074142092375e-02	1.097242991008e+18
2.4776706278e-03	8.15114480	271.89292384	5.004735550170e-02	6.801231562988e+17
2.5163842314e-03	8.27850643	276.14125077	2.745173750890e-73	3.730579203093e-54
2.5550978349e-03	8.40586807	280.38957771	7.271709711986e-84	9.881957021360e-65
2.5938114385e-03	8.53322971	284.63790464	6.673823169358e-93	9.069453586555e-74
2.6325250421e-03	8.66059134	288.88623158	7.449447594485e-101	1.012349555707e-81
2.6712386456e-03	8.78795298	293.13455851	5.578960378601e-108	7.581579692921e-89
2.7099522492e-03	8.91531462	297.38288545	1.925540440432e-114	2.616730951714e-95
2.7486658527e-03	9.04267626	301.63121238	2.374477776587e-120	3.226818487780e-101
2.7873794563e-03	9.17003789	305.87953932	8.724242764402e-126	1.185589021790e-106
2.8260930598e-03	9.29739953	310.12786625	8.346820549648e-131	1.134298881605e-111
