# temperature_K	g_x_W_per_K	g_y_W_per_K	g_z_W_per_K	gA_x_W_per_m2K	gA_y_W_per_m2K	gA_z_W_per_m2K
44.00000000	1.062687727107e-11	1.104323779538e-11	9.399365649937e-12	1.444149293954e+08	1.500730991650e+08	1.255712840147e+08
46.00000000	1.185897383089e-11	1.228787872944e-11	1.043664744067e-11	1.611586193012e+08	1.669872620023e+08	1.394289007091e+08
48.00000000	1.312298458178e-11	1.356391352103e-11	1.149937346417e-11	1.783360100519e+08	1.843280545638e+08	1.536264408727e+08
50.00000000	1.441058139565e-11	1.486303727113e-11	1.258110722055e-11	1.958339257821e+08	2.019826166576e+08	1.680779157710e+08
52.00000000	1.571402897987e-11	1.617753784476e-11	1.367582293119e-11	2.135472470189e+08	2.198461435140e+08	1.827028237208e+08
54.00000000	1.702627828548e-11	1.750038881121e-11	1.477797658844e-11	2.313801800606e+08	2.378231488042e+08	1.974270992811e+08
56.00000000	1.834101741217e-11	1.882530003295e-11	1.588254809433e-11	2.492469487559e+08	2.558281521238e+08	2.121836762083e+08
58.00000000	1.965268865784e-11	2.014673452608e-11	1.698505976611e-11	2.670720261988e+08	2.737859081191e+08	2.269127346813e+08
60.00000000	2.095647955442e-11	2.145989940583e-11	1.808157616740e-11	2.847900129105e+08	2.916312834403e+08	2.415616990456e+08
62.00000000	2.224829469493e-11	2.276071769490e-11	1.916868970476e-11	3.023452539799e+08	3.093088736278e+08	2.560850453905e+08
64.00000000	2.352471406202e-11	2.404578668216e-11	2.024349582497e-11	3.196912727657e+08	3.267724372251e+08	2.704439701953e+08
66.00000000	2.478294251990e-11	2.531232747524e-11	2.130356102982e-11	3.367900845118e+08	3.439842102176e+08	2.846059630224e+08
68.00000000	2.602075418274e-11	2.655812944623e-11	2.234688633907e-11	3.536114403376e+08	3.609141510734e+08	2.985443183973e+08
70.00000000	2.723643454704e-11	2.778149244793e-11	2.337186830105e-11	3.701320408394e+08	3.775391554852e+08	3.122376149293e+08
72.00000000	2.842872257627e-11	2.898116898219e-11	2.437725918650e-11	3.863347490451e+08	3.938422704619e+08	3.256691835185e+08
74.00000000	2.959675434728e-11	3.015630792557e-11	2.536212760530e-11	4.022078245911e+08	4.098119295827e+08	3.388265812133e+08
76.00000000	3.074000939749e-11	3.130640094867e-11	2.632582045602e-11	4.177441946032e+08	4.254412248584e+08	3.517010828730e+08
78.00000000	3.185826053555e-11	3.243123239083e-11	2.726792684792e-11	4.329407716436e+08	4.407272255487e+08	3.642871991829e+08
80.00000000	3.295152758221e-11	3.353083305658e-11	2.818824441815e-11	4.477978250684e+08	4.556703502745e+08	3.765822266666e+08
82.00000000	3.402003527934e-11	3.460543817207e-11	2.908674829492e-11	4.623184090276e+08	4.702737956633e+08	3.885858330481e+08
84.00000000	3.506417543115e-11	3.565544956639e-11	2.996356282461e-11	4.765078479809e+08	4.845430224086e+08	4.002996795391e+08
86.00000000	3.608447321355e-11	3.668140201433e-11	3.081893607964e-11	4.903732788549e+08	4.984852978817e+08	4.117270802752e+08
88.00000000	3.708155749478e-11	3.768393358484e-11	3.165321708908e-11	5.039232477123e+08	5.121092931795e+08	4.228726981270e+08
90.00000000	3.805613494703e-11	3.866375977577e-11	3.246683568060e-11	5.171673579403e+08	5.254247316262e+08	4.337422753986e+08
92.00000000	3.900896768815e-11	3.962165117481e-11	3.326028478597e-11	5.301159664096e+08	5.384420851941e+08	4.443423974357e+08
94.00000000	3.994085416882e-11	4.055841436277e-11	3.403410503892e-11	5.427799237395e+08	5.511723149877e+08	4.546802868613e+08
96.00000000	4.085261301121e-11	4.147487576599e-11	3.478887148205e-11	5.551703546713e+08	5.636266518040e+08	4.647636259849e+08
98.00000000	4.174506950493e-11	4.237186816417e-11	3.552518219411e-11	5.672984745547e+08	5.758164127797e+08	4.746004048687e+08
100.00000000	4.261904447426e-11	4.325021956802e-11	3.624364865070e-11	5.791754380568e+08	5.877528502425e+08	4.841987925510e+08
102.00000000	4.347534524277e-11	4.411074419344e-11	3.694488763672e-11	5.908122163757e+08	5.994470290546e+08	4.935670289997e+08
104.00000000	4.431475843843e-11	4.495423527537e-11	3.762951453738e-11	6.022194994648e+08	6.109097289556e+08	5.027133354834e+08
106.00000000	4.513804440031e-11	4.578145948288e-11	3.829813784515e-11	6.134076200221e+08	6.221513686655e+08	5.116458411870e+08
108.00000000	4.594593296773e-11	4.659315271637e-11	3.895135473194e-11	6.243864962666e+08	6.331819487705e+08	5.203725240579e+08
110.00000000	4.673912045272e-11	4.739001708788e-11	3.958974754773e-11	6.351655907945e+08	6.440110106871e+08	5.289011640289e+08
112.00000000	4.751826761606e-11	4.817271890504e-11	4.021388111968e-11	6.457538830756e+08	6.546476092645e+08	5.372393069362e+08
114.00000000	4.828399848662e-11	4.894188749821e-11	4.082430073785e-11	6.561598534079e+08	6.651002968454e+08	5.453942376088e+08
116.00000000	4.903689988139e-11	4.969811474837e-11	4.142153072536e-11	6.663914763950e+08	6.753771168512e+08	5.533729607670e+08
118.00000000	4.977752150078e-11	5.044195519030e-11	4.200607350226e-11	6.764562222414e+08	6.854856051834e+08	5.611821885160e+08
120.00000000	5.050637648942e-11	5.117392658127e-11	4.257840906257e-11	6.863610643731e+08	6.954327979524e+08	5.688283333594e+08
122.00000000	5.122394236686e-11	5.189451083979e-11	4.313899479387e-11	6.961124920864e+08	7.052252442339e+08	5.763175057889e+08
124.00000000	5.193066224609e-11	5.260415527194e-11	4.368826557749e-11	7.057165271061e+08	7.148690227353e+08	5.836555156226e+08
126.00000000	5.262694626905e-11	5.330327401483e-11	4.422663411559e-11	7.151787430939e+08	7.243697614113e+08	5.908478763755e+08
128.00000000	5.331317319918e-11	5.399224963708e-11	4.475449143872e-11	7.245042872906e+08	7.337326592132e+08	5.978998120391e+08
130.00000000	5.398969212045e-11	5.467143484558e-11	4.527220755378e-11	7.336979036049e+08	7.429625092838e+08	6.048162657387e+08
132.00000000	5.465682420038e-11	5.534115425622e-11	4.578013219840e-11	7.427639565725e+08	7.520637230210e+08	6.116019098112e+08
