# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 7.485282740947223e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
4.8392004449e-03	15.92020468	531.04086687	3.728347062343e-01	4.980903449308e+18
4.8779140485e-03	16.04756632	535.28919381	3.895951008643e-01	5.204814759141e+18
4.9166276521e-03	16.17492795	539.53752074	4.157686595693e-01	5.554481693723e+18
4.9553412556e-03	16.30228959	543.78584768	3.421835725426e-01	4.571418133222e+18
4.9940548592e-03	16.42965123	548.03417461	4.028957329469e-01	5.382505202414e+18
5.0327684627e-03	16.55701286	552.28250155	5.060064413066e-01	6.760017741729e+18
5.0714820663e-03	16.68437450	556.53082848	5.502030063705e-01	7.350463909141e+18
5.1101956699e-03	16.81173614	560.77915542	7.160989076942e-01	9.566758297277e+18
5.1489092734e-03	16.93909778	565.02748235	8.584917184072e-01	1.146906199964e+19
5.1876228770e-03	17.06645941	569.27580929	8.374613397397e-01	1.118810562971e+19
5.2263364805e-03	17.19382105	573.52413622	8.544555069752e-01	1.141514003607e+19
5.2650500841e-03	17.32118269	577.77246316	9.913624872662e-01	1.324415551924e+19
5.3037636877e-03	17.44854433	582.02079009	1.052957686597e+00	1.406703959005e+19
5.3424772912e-03	17.57590596	586.26911703	8.572729071006e-01	1.145277923052e+19
5.3811908948e-03	17.70326760	590.51744396	7.252601791869e-01	9.689148750781e+18
5.4199044983e-03	17.83062924	594.76577090	4.217963679660e-01	5.635009158153e+18
5.4586181019e-03	17.95799088	599.01409783	3.569039971832e-01	4.768076364448e+18
5.4973317055e-03	18.08535251	603.26242477	9.646854972588e-02	1.288776296962e+18
5.5360453090e-03	18.21271415	607.51075170	9.628275101620e-02	1.286294110034e+18
5.5747589126e-03	18.34007579	611.75907864	9.550616584697e-02	1.275919282575e+18
5.6134725161e-03	18.46743743	616.00740557	5.488409556636e-02	7.332267526265e+17
5.6521861197e-03	18.59479906	620.25573251	2.760496213686e-02	3.687898385702e+17
5.6908997233e-03	18.72216070	624.50405944	2.756806650722e-02	3.682969296057e+17
5.7296133268e-03	18.84952234	628.75238638	5.411880818106e-02	7.230028584627e+17
5.7683269304e-03	18.97688398	633.00071331	2.708909595809e-02	3.618980991847e+17
