# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
6.8000000000e+01	1.0340000000e+03	9.6600000000e+02	5.2006475222e-08	1.4587256220e-10	5.1860602660e-08	5.2152347784e-08	5.2006475222e-08	2.1278804404e-26
6.9000000000e+01	1.0345000000e+03	9.6550000000e+02	5.2771092108e-08	1.4588859216e-10	5.2625203516e-08	5.2916980701e-08	5.2771092108e-08	2.1283481323e-26
7.0000000000e+01	1.0350000000e+03	9.6500000000e+02	5.3535700920e-08	1.4590485418e-10	5.3389796065e-08	5.3681605774e-08	5.3535700920e-08	2.1288226474e-26
7.1000000000e+01	1.0355000000e+03	9.6450000000e+02	5.4300301538e-08	1.4592134818e-10	5.4154380190e-08	5.4446222886e-08	5.4300301538e-08	2.1293039854e-26
7.2000000000e+01	1.0360000000e+03	9.6400000000e+02	5.5064893846e-08	1.4593807407e-10	5.4918955772e-08	5.5210831920e-08	5.5064893846e-08	2.1297921462e-26
7.3000000000e+01	1.0365000000e+03	9.6350000000e+02	5.5829477726e-08	1.4595503176e-10	5.5683522694e-08	5.5975432757e-08	5.5829477726e-08	2.1302871296e-26
7.4000000000e+01	1.0370000000e+03	9.6300000000e+02	5.6594053060e-08	1.4597222117e-10	5.6448080839e-08	5.6740025281e-08	5.6594053060e-08	2.1307889353e-26
7.5000000000e+01	1.0375000000e+03	9.6250000000e+02	5.7358619731e-08	1.4598964221e-10	5.7212630088e-08	5.7504609373e-08	5.7358619731e-08	2.1312975633e-26
7.6000000000e+01	1.0380000000e+03	9.6200000000e+02	5.8123177620e-08	1.4600729479e-10	5.7977170326e-08	5.8269184915e-08	5.8123177620e-08	2.1318130131e-26
7.7000000000e+01	1.0385000000e+03	9.6150000000e+02	5.8887726612e-08	1.4602517881e-10	5.8741701433e-08	5.9033751790e-08	5.8887726612e-08	2.1323352847e-26
7.8000000000e+01	1.0390000000e+03	9.6100000000e+02	5.9652266586e-08	1.4604329419e-10	5.9506223292e-08	5.9798309881e-08	5.9652266586e-08	2.1328643779e-26
7.9000000000e+01	1.0395000000e+03	9.6050000000e+02	6.0416797427e-08	1.4606164083e-10	6.0270735786e-08	6.0562859068e-08	6.0416797427e-08	2.1334002923e-26
8.0000000000e+01	1.0400000000e+03	9.6000000000e+02	6.1181319015e-08	1.4608021864e-10	6.1035238797e-08	6.1327399234e-08	6.1181319015e-08	2.1339430278e-26
8.1000000000e+01	1.0405000000e+03	9.5950000000e+02	6.1945831234e-08	1.4609902752e-10	6.1799732207e-08	6.2091930262e-08	6.1945831234e-08	2.1344925842e-26
8.2000000000e+01	1.0410000000e+03	9.5900000000e+02	6.2710333965e-08	1.4611806737e-10	6.2564215898e-08	6.2856452033e-08	6.2710333965e-08	2.1350489613e-26
8.3000000000e+01	1.0415000000e+03	9.5850000000e+02	6.3474827091e-08	1.4613733810e-10	6.3328689753e-08	6.3620964429e-08	6.3474827091e-08	2.1356121588e-26
8.4000000000e+01	1.0420000000e+03	9.5800000000e+02	6.4239310494e-08	1.4615683961e-10	6.4093153654e-08	6.4385467333e-08	6.4239310494e-08	2.1361821764e-26
8.5000000000e+01	1.0425000000e+03	9.5750000000e+02	6.5003784055e-08	1.4617657179e-10	6.4857607483e-08	6.5149960627e-08	6.5003784055e-08	2.1367590140e-26
8.6000000000e+01	1.0430000000e+03	9.5700000000e+02	6.5768247657e-08	1.4619653455e-10	6.5622051122e-08	6.5914444191e-08	6.5768247657e-08	2.1373426713e-26
8.7000000000e+01	1.0435000000e+03	9.5650000000e+02	6.6532701182e-08	1.4621672778e-10	6.6386484454e-08	6.6678917910e-08	6.6532701182e-08	2.1379331481e-26
8.8000000000e+01	1.0440000000e+03	9.5600000000e+02	6.7297144512e-08	1.4623715137e-10	6.7150907360e-08	6.7443381663e-08	6.7297144512e-08	2.1385304442e-26
8.9000000000e+01	1.0445000000e+03	9.5550000000e+02	6.8061577528e-08	1.4625780523e-10	6.7915319723e-08	6.8207835333e-08	6.8061577528e-08	2.1391345592e-26
9.0000000000e+01	1.0450000000e+03	9.5500000000e+02	6.8826000114e-08	1.4627868925e-10	6.8679721424e-08	6.8972278803e-08	6.8826000114e-08	2.1397454930e-26
9.1000000000e+01	1.0455000000e+03	9.5450000000e+02	6.9590412150e-08	1.4629980332e-10	6.9444112346e-08	6.9736711953e-08	6.9590412150e-08	2.1403632452e-26
9.2000000000e+01	1.0460000000e+03	9.5400000000e+02	7.0354813518e-08	1.4632114733e-10	7.0208492371e-08	7.0501134666e-08	7.0354813518e-08	2.1409878157e-26
9.3000000000e+01	1.0465000000e+03	9.5350000000e+02	7.1119204102e-08	1.4634272118e-10	7.0972861380e-08	7.1265546823e-08	7.1119204102e-08	2.1416192042e-26
9.4000000000e+01	1.0470000000e+03	9.5300000000e+02	7.1883583781e-08	1.4636452475e-10	7.1737219256e-08	7.2029948306e-08	7.1883583781e-08	2.1422574104e-26
9.5000000000e+01	1.0475000000e+03	9.5250000000e+02	7.2647952439e-08	1.4638655792e-10	7.2501565881e-08	7.2794338997e-08	7.2647952439e-08	2.1429024341e-26
9.6000000000e+01	1.0480000000e+03	9.5200000000e+02	7.3412309956e-08	1.4640882060e-10	7.3265901136e-08	7.3558718777e-08	7.3412309956e-08	2.1435542749e-26
9.7000000000e+01	1.0485000000e+03	9.5150000000e+02	7.4176656215e-08	1.4643131266e-10	7.4030224903e-08	7.4323087528e-08	7.4176656215e-08	2.1442129327e-26
9.8000000000e+01	1.0490000000e+03	9.5100000000e+02	7.4940991098e-08	1.4645403399e-10	7.4794537064e-08	7.5087445132e-08	7.4940991098e-08	2.1448784071e-26
9.9000000000e+01	1.0495000000e+03	9.5050000000e+02	7.5705314485e-08	1.4647698447e-10	7.5558837501e-08	7.5851791470e-08	7.5705314485e-08	2.1455506980e-26
1.0000000000e+02	1.0500000000e+03	9.5000000000e+02	7.6469626259e-08	1.4650016399e-10	7.6323126095e-08	7.6616126423e-08	7.6469626259e-08	2.1462298049e-26
