# meta_json: {"atom_symbols": ["B", "B", "B", "B", "B"], "lattice_vectors_override_angstrom": [[5.112337165743099, 0.0, 0.0], [0.0, 2.953769159320898, 0.0], [0.0, 0.0, 15.000000297369095]], "lattice_vectors_raw": [[1.0, 0.0, 0.0], [0.0, 0.577738741, 0.0], [0.0, 0.0, 2.934079958]], "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 7.975176730166427e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
1.9934482819e-03	6.55812980	218.75566340	8.567140867615e-01	1.074225833167e+19
2.0840595674e-03	6.85622661	228.69910265	9.519358289408e-01	1.193623490925e+19
2.1746708529e-03	7.15432342	238.64254189	6.665002351610e-01	8.357184520312e+18
2.2652821385e-03	7.45242023	248.58598114	8.568720158212e-01	1.074423858947e+19
2.3558934240e-03	7.75051704	258.52942039	9.042458028230e-01	1.133825410292e+19
2.4465047096e-03	8.04861385	268.47285963	6.188919156167e-01	7.760228225110e+18
2.5371159951e-03	8.34671066	278.41629888	7.138449471620e-01	8.950835465023e+18
2.6277272806e-03	8.64480747	288.35973812	6.189058241980e-01	7.760402623518e+18
2.7183385662e-03	8.94290428	298.30317737	5.235241980279e-01	6.564421275426e+18
2.8089498517e-03	9.24100109	308.24661661	4.285077074595e-01	5.373018328718e+18
2.8995611373e-03	9.53909790	318.19005586	8.092179114574e-01	1.014670820267e+19
2.9901724228e-03	9.83719470	328.13349510	9.994078170459e-01	1.253148175721e+19
3.0807837083e-03	10.13529151	338.07693435	1.284695028117e+00	1.610867158915e+19
3.1713949939e-03	10.43338832	348.02037360	9.040718011839e-01	1.133607231253e+19
3.2620062794e-03	10.73148513	357.96381284	1.094532083641e+00	1.372423609750e+19
3.3526175650e-03	11.02958194	367.90725209	1.189785706712e+00	1.491861242663e+19
3.4432288505e-03	11.32767875	377.85069133	1.284925666800e+00	1.611156354616e+19
3.5338401360e-03	11.62577556	387.79413058	1.376948891932e+00	1.726543421569e+19
3.6244514216e-03	11.92387237	397.73756982	1.141230168269e+00	1.430977904167e+19
3.7150627071e-03	12.22196918	407.68100907	1.760438462341e+00	2.207397430683e+19
3.8056739927e-03	12.52006599	417.62444831	1.142512188752e+00	1.432585417738e+19
