# temperature_K	conductance_x_W_per_K	conductance_y_W_per_K
228.00000000	1.123016962017e-10	6.537445842178e-11
230.00000000	1.123802566426e-10	6.541875060287e-11
232.00000000	1.124569251803e-10	6.546197518946e-11
234.00000000	1.125317609962e-10	6.550416561667e-11
236.00000000	1.126048210202e-10	6.554535404565e-11
238.00000000	1.126761600304e-10	6.558557142009e-11
240.00000000	1.127458307479e-10	6.562484752005e-11
242.00000000	1.128138839269e-10	6.566321101297e-11
244.00000000	1.128803684405e-10	6.570068950223e-11
246.00000000	1.129453313619e-10	6.573730957328e-11
248.00000000	1.130088180419e-10	6.577309683750e-11
250.00000000	1.130708721829e-10	6.580807597395e-11
252.00000000	1.131315359082e-10	6.584227076904e-11
254.00000000	1.131908498294e-10	6.587570415433e-11
256.00000000	1.132488531096e-10	6.590839824249e-11
258.00000000	1.133055835241e-10	6.594037436155e-11
260.00000000	1.133610775177e-10	6.597165308750e-11
262.00000000	1.134153702599e-10	6.600225427540e-11
264.00000000	1.134684956967e-10	6.603219708896e-11
266.00000000	1.135204866013e-10	6.606150002880e-11
268.00000000	1.135713746209e-10	6.609018095936e-11
270.00000000	1.136211903225e-10	6.611825713456e-11
272.00000000	1.136699632360e-10	6.614574522233e-11
274.00000000	1.137177218956e-10	6.617266132793e-11
276.00000000	1.137644938790e-10	6.619902101632e-11
278.00000000	1.138103058455e-10	6.622483933343e-11
280.00000000	1.138551835716e-10	6.625013082648e-11
282.00000000	1.138991519854e-10	6.627490956348e-11
284.00000000	1.139422351995e-10	6.629918915173e-11
286.00000000	1.139844565424e-10	6.632298275561e-11
288.00000000	1.140258385885e-10	6.634630311353e-11
290.00000000	1.140664031866e-10	6.636916255414e-11
292.00000000	1.141061714876e-10	6.639157301190e-11
294.00000000	1.141451639707e-10	6.641354604186e-11
296.00000000	1.141834004684e-10	6.643509283388e-11
298.00000000	1.142209001905e-10	6.645622422627e-11
300.00000000	1.142576817474e-10	6.647695071876e-11
302.00000000	1.142937631720e-10	6.649728248500e-11
304.00000000	1.143291619408e-10	6.651722938445e-11
306.00000000	1.143638949940e-10	6.653680097388e-11
308.00000000	1.143979787553e-10	6.655600651831e-11
310.00000000	1.144314291501e-10	6.657485500150e-11
312.00000000	1.144642616234e-10	6.659335513602e-11
314.00000000	1.144964911572e-10	6.661151537296e-11
316.00000000	1.145281322865e-10	6.662934391114e-11
318.00000000	1.145591991152e-10	6.664684870602e-11
320.00000000	1.145897053312e-10	6.666403747826e-11
322.00000000	1.146196642209e-10	6.668091772182e-11
324.00000000	1.146490886831e-10	6.669749671194e-11
326.00000000	1.146779912423e-10	6.671378151258e-11
328.00000000	1.147063840617e-10	6.672977898372e-11
330.00000000	1.147342789551e-10	6.674549578832e-11
332.00000000	1.147616873994e-10	6.676093839899e-11
334.00000000	1.147886205454e-10	6.677611310444e-11
336.00000000	1.148150892292e-10	6.679102601565e-11
338.00000000	1.148411039821e-10	6.680568307179e-11
