# meta_json: {"atom_symbols": ["P", "P", "P", "P"], "lattice_vectors_override_angstrom": [[3.2625138212665235, 0.0, 0.0], [0.0, 4.3413791830061905, 0.0], [0.0, 0.0, 20.28000809018394]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 2.244, "thickness_direction": 3, "transport_direction": 1, "transverse_area_m2": 9.742054886665893e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
2.6247505783e-03	8.63501459	288.03308279	7.438415849063e-15	7.635366394049e+04
2.6612054474e-03	8.75494535	292.03354228	2.514916923161e-15	2.581505598581e+04
2.6976603165e-03	8.87487610	296.03400176	9.755231787336e-16	1.001352579186e+04
2.7341151857e-03	8.99480686	300.03446124	4.231955414829e-16	4.344006951369e+03
2.7705700548e-03	9.11473762	304.03492073	2.020030675232e-16	2.073516007384e+03
2.8070249240e-03	9.23466838	308.03538021	1.050919779019e-16	1.078745491834e+03
2.8434797931e-03	9.35459914	312.03583969	5.943039942395e-17	6.100396694058e+02
2.8799346623e-03	9.47452989	316.03629918	3.680987491047e-17	3.778450782581e+02
2.9163895314e-03	9.59446065	320.03675866	2.569914392668e-17	2.637959262768e+02
2.9528444005e-03	9.71439141	324.03721814	2.177368250869e-17	2.235019486340e+02
2.9892992697e-03	9.83432217	328.03767763	2.569232162749e-17	2.637258969117e+02
3.0257541388e-03	9.95425293	332.03813711	4.815533087942e-17	4.943036293640e+02
3.0622090080e-03	10.07418369	336.03859659	1.446982773869e-16	1.485295238738e+03
3.0986638771e-03	10.19411444	340.03905607	6.741468708967e-16	6.919965846420e+03
3.1351187463e-03	10.31404520	344.03951556	5.242146403717e-15	5.380945257136e+04
3.1715736154e-03	10.43397596	348.03997504	9.098970632230e-14	9.339888491784e+05
3.2080284845e-03	10.55390672	352.04043452	9.526235749537e-12	9.778466514878e+07
3.2444833537e-03	10.67383748	356.04089401	3.830700724031e-01	3.932128045464e+18
3.2809382228e-03	10.79376823	360.04135349	6.626916757083e-01	6.802380846933e+18
3.3173930920e-03	10.91369899	364.04181297	1.099687092752e+00	1.128804041391e+19
3.3538479611e-03	11.03362975	368.04227246	1.108626626223e+00	1.137980271226e+19
3.3903028303e-03	11.15356051	372.04273194	1.435400053890e+00	1.473405837464e+19
3.4267576994e-03	11.27349127	376.04319142	1.652139544928e+00	1.695884045151e+19
3.4632125685e-03	11.39342203	380.04365091	1.551725805653e+00	1.592811602587e+19
3.4996674377e-03	11.51335278	384.04411039	1.442309063788e+00	1.480497780568e+19
3.5361223068e-03	11.63328354	388.04456987	1.441289491447e+00	1.479451212515e+19
3.5725771760e-03	11.75321430	392.04502936	1.331868776084e+00	1.367133311789e+19
3.6090320451e-03	11.87314506	396.04548884	1.331267303120e+00	1.366515913334e+19
