# meta_json: {"atom_symbols": ["B", "B", "B", "B", "B"], "lattice_vectors_override_angstrom": [[5.112337165743099, 0.0, 0.0], [0.0, 2.953769159320898, 0.0], [0.0, 0.0, 15.000000297369095]], "lattice_vectors_raw": [[1.0, 0.0, 0.0], [0.0, 0.577738741, 0.0], [0.0, 0.0, 2.934079958]], "source_format": "qe_q2r_fc", "thickness_angstrom": 2.7, "thickness_direction": 3, "transport_direction": 2, "transverse_area_m2": 1.3803310347506371e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
2.3562492963e-03	7.75168780	258.56847285	1.808907201404e+00	1.310487959674e+19
2.4468742693e-03	8.04982964	268.51341412	1.716523582494e+00	1.243559363138e+19
2.5374992422e-03	8.34797148	278.45835538	1.710067013330e+00	1.238881811883e+19
2.6281242151e-03	8.64611332	288.40329665	1.603750006522e+00	1.161858978858e+19
2.7187491881e-03	8.94425516	298.34823791	1.601071118905e+00	1.159918221497e+19
2.8093741610e-03	9.24239700	308.29317917	1.809527775057e+00	1.310937542880e+19
2.8999991339e-03	9.54053884	318.23812044	2.177140717061e+00	1.577259847276e+19
2.9906241069e-03	9.83868067	328.18306170	3.274211719349e+00	2.372048180414e+19
3.0812490798e-03	10.13682251	338.12800296	3.091656679785e+00	2.239793645112e+19
3.1718740527e-03	10.43496435	348.07294423	2.890057477719e+00	2.093742301637e+19
3.2624990257e-03	10.73310619	358.01788549	3.150676983645e+00	2.282551724423e+19
3.3531239986e-03	11.03124803	367.96282676	4.066093864043e+00	2.945738204588e+19
3.4437489715e-03	11.32938987	377.90776802	4.212062501854e+00	3.051487212714e+19
3.5343739445e-03	11.62753171	387.85270928	4.270682468675e+00	3.093955262294e+19
3.6249989174e-03	11.92567354	397.79765055	4.256587525129e+00	3.083743984571e+19
3.7156238903e-03	12.22381538	407.74259181	4.504630202165e+00	3.263441948894e+19
3.8062488633e-03	12.52195722	417.68753307	4.310007351343e+00	3.122444720024e+19
3.8968738362e-03	12.82009906	427.63247434	4.266659863629e+00	3.091041030168e+19
3.9874988092e-03	13.11824090	437.57741560	4.345661749557e+00	3.148275044285e+19
4.0781237821e-03	13.41638274	447.52235686	4.065135711664e+00	2.945044057782e+19
4.1687487550e-03	13.71452458	457.46729813	4.167030790636e+00	3.018863363736e+19
4.2593737280e-03	14.01266641	467.41223939	3.971915652008e+00	2.877509490124e+19
4.3499987009e-03	14.31080825	477.35718066	3.738455976750e+00	2.708376384093e+19
4.4406236738e-03	14.60895009	487.30212192	3.668248338028e+00	2.657513484576e+19
4.5312486468e-03	14.90709193	497.24706318	3.481944429225e+00	2.522543028857e+19
4.6218736197e-03	15.20523377	507.19200445	3.219022510922e+00	2.332065591428e+19
4.7124985926e-03	15.50337561	517.13694571	3.293583808797e+00	2.386082559820e+19
4.8031235656e-03	15.80151745	527.08188697	3.336552627301e+00	2.417211917505e+19
4.8937485385e-03	16.09965928	537.02682824	3.553866929796e+00	2.574648283872e+19
4.9843735114e-03	16.39780112	546.97176950	3.170893532987e+00	2.297197884535e+19
5.0749984844e-03	16.69594296	556.91671076	2.795544192858e+00	2.025270839008e+19
5.1656234573e-03	16.99408480	566.86165203	2.255453091166e+00	1.633994334970e+19
5.2562484302e-03	17.29222664	576.80659329	1.940469969391e+00	1.405800435214e+19
5.3468734032e-03	17.59036848	586.75153456	1.466496711298e+00	1.062423921783e+19
5.4374983761e-03	17.88851032	596.69647582	1.288605155765e+00	9.335479122930e+18
5.5281233491e-03	18.18665216	606.64141708	1.237756922064e+00	8.967102027724e+18
5.6187483220e-03	18.48479399	616.58635835	1.305285573012e+00	9.456322723683e+18
5.7093732949e-03	18.78293583	626.53129961	2.113858896244e+00	1.531414452785e+19
5.7999982679e-03	19.08107767	636.47624087	1.539019542362e+00	1.114964094566e+19
5.8906232408e-03	19.37921951	646.42118214	1.725851957538e+00	1.250317434071e+19
5.9812482137e-03	19.67736135	656.36612340	1.169627793771e+00	8.473531090186e+18
6.0718731867e-03	19.97550319	666.31106466	8.055380811718e-01	5.835832571259e+18
6.1624981596e-03	20.27364503	676.25600593	8.474005226657e-01	6.139110846108e+18
