# idx	kdist	kx	ky	kz	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1
13	3.4033920414e-01	3.1415926536e+00	2.8012534495e+00	0.0000000000e+00	1.674516433581e-03	1.783480741730e-03	2.919981923551e-03	3.519677981992e-03	3.683538717826e-03	3.943086588305e-03	4.884623501825e-03	5.326271294656e-03	5.917901892271e-03	6.945007387280e-03	7.513141470747e-03	8.460904636740e-03	9.126573398717e-03	9.445826738706e-03	9.779723216960e-03	183.75693849	195.71438917	320.43097813	386.24001381	404.22165110	432.70373770	536.02547121	584.49071447	649.41466813	762.12646807	824.47197734	928.47696308	1001.52566615	1036.55967070	1073.20057394
14	3.6651914292e-01	3.1415926536e+00	2.7750735107e+00	0.0000000000e+00	1.660365188178e-03	1.756771016850e-03	2.932839696212e-03	3.552042109319e-03	3.685682289032e-03	3.935196537649e-03	4.884101316700e-03	5.336928079591e-03	5.921635601024e-03	6.943476661641e-03	7.497728522998e-03	8.438700404145e-03	9.148809353117e-03	9.449485673847e-03	9.790393658033e-03	182.20401880	192.78333566	321.84195559	389.79156627	404.45688085	431.83790472	535.96816801	585.66016144	649.82439530	761.95849035	822.78060182	926.04033019	1003.96578010	1036.96119242	1074.37151950
15	3.9269908170e-01	3.1415926536e+00	2.7488935719e+00	0.0000000000e+00	1.645680258189e-03	1.731602504293e-03	2.946396148109e-03	3.584119809317e-03	3.688024573579e-03	3.927074011989e-03	4.883679734550e-03	5.348207574239e-03	5.925384471212e-03	6.941271584252e-03	7.481509064268e-03	8.417416479411e-03	9.170772539329e-03	9.453282419623e-03	9.801723695808e-03	180.59253400	190.02141065	323.32960423	393.31168696	404.71391687	430.94656056	535.92190472	586.89794291	650.23578625	761.71651107	821.00072196	923.70468943	1006.37596119	1037.37783711	1075.61484743
16	4.1887902048e-01	3.1415926536e+00	2.7227136331e+00	0.0000000000e+00	1.630559096479e-03	1.708166184245e-03	2.960620590229e-03	3.615772837662e-03	3.690571694094e-03	3.918763670949e-03	4.883374553552e-03	5.360083925826e-03	5.929108703727e-03	6.938315970777e-03	7.464529016797e-03	8.397077129212e-03	9.192498265991e-03	9.457206006951e-03	9.813666058508e-03	178.93317831	187.44957180	324.89055632	396.78520532	404.99343104	430.03460604	535.88841498	588.20122185	650.64447353	761.39216999	819.13737713	921.47270373	1008.76008412	1037.80840105	1076.92537026
17	4.4505895926e-01	3.1415926536e+00	2.6965336943e+00	0.0000000000e+00	1.615102162602e-03	1.686589557176e-03	2.975484795906e-03	3.646895751687e-03	3.693330165633e-03	3.910305710790e-03	4.883198733163e-03	5.372531037895e-03	5.932769543958e-03	6.934542339750e-03	7.446830924861e-03	8.377689967389e-03	9.214020598513e-03	9.461246705988e-03	9.826167831395e-03	177.23697588	185.08181066	326.52171435	400.20055036	405.29613830	429.10645220	535.86912092	589.56713452	651.04620431	760.97806185	817.19523603	919.34520864	1011.12188712	1038.25181652	1078.29728126
18	4.7123889804e-01	3.1415926536e+00	2.6703537556e+00	0.0000000000e+00	1.599412135334e-03	1.666939522373e-03	2.990962797829e-03	3.677410971641e-03	3.696307193200e-03	3.901735436881e-03	4.883161964461e-03	5.385522338665e-03	5.936329425794e-03	6.929893565006e-03	7.428453568109e-03	8.359245968127e-03	9.235370586173e-03	9.465395327722e-03	9.839171190030e-03	175.51519440	182.92546859	328.22022874	403.54920869	405.62282932	428.16597334	535.86508602	590.99276499	651.43685619	760.46791778	815.17855423	917.32121367	1013.46477745	1038.70707513	1079.72423493
19	4.9741883682e-01	3.1415926536e+00	2.6441738168e+00	0.0000000000e+00	1.583592973337e-03	1.649226081070e-03	3.007030506954e-03	3.699511047172e-03	3.707264342346e-03	3.893083010125e-03	4.883270298140e-03	5.399030486503e-03	5.939752021255e-03	6.924324128345e-03	7.409431749532e-03	8.341720168213e-03	9.256574518444e-03	9.469642450789e-03	9.852614257015e-03	173.77924203	180.98164309	329.98345601	405.97441165	406.82523745	427.21647926	535.87697427	592.47511287	651.81244263	759.85674276	813.09115092	915.39797943	1015.79164006	1039.17314302	1081.19944101
20	5.2359877560e-01	3.1415926536e+00	2.6179938780e+00	0.0000000000e+00	1.567748815544e-03	1.633406948557e-03	3.023665159803e-03	3.702951513722e-03	3.736421163416e-03	3.884373365626e-03	4.883525837461e-03	5.413027029749e-03	5.943002198874e-03	6.917800921735e-03	7.389796261320e-03	8.325073051706e-03	9.277652275642e-03	9.473977627859e-03	9.866432038369e-03	172.04054668	179.24569395	331.80889816	406.35195922	410.02482873	426.26070625	535.90501647	594.01105596	652.16910840	759.14090357	810.93640515	913.57116955	1018.10465656	1039.64887371	1082.71576725
21	5.4977871438e-01	3.1415926536e+00	2.5918139392e+00	0.0000000000e+00	1.551982724617e-03	1.619393073641e-03	3.040844602390e-03	3.706640414654e-03	3.764862642873e-03	3.875626298946e-03	4.883926501899e-03	5.427482038910e-03	5.946045895128e-03	6.910303588354e-03	7.369574026043e-03	8.309252554371e-03	9.298615846654e-03	9.478388621318e-03	9.880557400237e-03	170.31041818	177.70784894	333.69412407	406.75676930	413.14592034	425.30082663	535.94898431	595.59730986	652.50311545	758.31816633	808.71727134	911.83507064	1020.40514257	1040.13292429	1084.26584654
22	5.7595865316e-01	3.1415926536e+00	2.5656340004e+00	0.0000000000e+00	1.536395289803e-03	1.607054969719e-03	3.058546420972e-03	3.710592188344e-03	3.792582717248e-03	3.866856722717e-03	4.884465865093e-03	5.442363728950e-03	5.948849903881e-03	6.901824434035e-03	7.348788405174e-03	8.294196572716e-03	9.319468088644e-03	9.482860711018e-03	9.894922052972e-03	168.59989493	176.35389853	335.63667413	407.19042634	416.18784689	424.33847688	536.00817257	597.23038658	652.81081985	757.38768670	806.43631310	910.18286763	1022.69341163	1040.62367941	1085.84218497
