# meta_json: {"atom_symbols": ["P", "P", "P", "P"], "lattice_vectors_override_angstrom": [[3.2625138212665235, 0.0, 0.0], [0.0, 4.3413791830061905, 0.0], [0.0, 0.0, 20.28000809018394]], "lattice_vectors_raw": null, "source_format": "qe_q2r_fc", "thickness_angstrom": 5.3, "thickness_direction": 3, "transport_direction": 2, "transverse_area_m2": 1.7291323252712573e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
1.8591983263e-03	6.11646867	204.02343364	1.220503265892e+00	7.058472321950e+18
1.8956531954e-03	6.23639942	208.02389313	9.992186472896e-01	5.778728629880e+18
1.9321080646e-03	6.35633018	212.02435261	9.990904724796e-01	5.777987363245e+18
1.9685629337e-03	6.47626094	216.02481209	9.988268764154e-01	5.776462921996e+18
2.0050178028e-03	6.59619170	220.02527158	9.985096031942e-01	5.774628052469e+18
2.0414726720e-03	6.71612246	224.02573106	9.195654479716e-01	5.318074473145e+18
2.0779275411e-03	6.83605322	228.02619054	6.661408360689e-01	3.852457248837e+18
2.1143824103e-03	6.95598397	232.02665003	7.770398415975e-01	4.493813632659e+18
2.1508372794e-03	7.07591473	236.02710951	7.769311259110e-01	4.493184902949e+18
2.1872921486e-03	7.19584549	240.02756899	7.767944722410e-01	4.492394600969e+18
2.2237470177e-03	7.31577625	244.02802848	7.753385904278e-01	4.483974876279e+18
2.2602018868e-03	7.43570701	248.02848796	7.824503600832e-01	4.525103999547e+18
2.2966567560e-03	7.55563776	252.02894744	7.764446159019e-01	4.490371295211e+18
2.3331116251e-03	7.67556852	256.02940693	7.750628869528e-01	4.482380414878e+18
2.3695664943e-03	7.79549928	260.02986641	7.748922072112e-01	4.481393331708e+18
2.4060213634e-03	7.91543004	264.03032589	7.697794583837e-01	4.451825040417e+18
2.4424762326e-03	8.03536080	268.03078538	2.140806670795e-01	1.238081458259e+18
2.4789311017e-03	8.15529155	272.03124486	6.905663786387e-13	3.993716204052e+06
2.5153859708e-03	8.27522231	276.03170434	2.582043144092e-15	1.493259426335e+04
2.5518408400e-03	8.39515307	280.03216383	1.748498667610e-16	1.011200034870e+03
2.5882957091e-03	8.51508383	284.03262331	3.559089322341e-17	2.058309401961e+02
2.6247505783e-03	8.63501459	288.03308279	1.095964882692e-17	6.338236042866e+01
2.6612054474e-03	8.75494535	292.03354228	4.634991282095e-18	2.680530121584e+01
2.6976603165e-03	8.87487610	296.03400176	2.679027879198e-18	1.549348097912e+01
2.7341151857e-03	8.99480686	300.03446124	2.031194605117e-18	1.174690089029e+01
2.7705700548e-03	9.11473762	304.03492073	1.863242247614e-18	1.077559085781e+01
2.8070249240e-03	9.23466838	308.03538021	1.926151839994e-18	1.113941259349e+01
2.8434797931e-03	9.35459914	312.03583969	2.154961510284e-18	1.246267552107e+01
2.8799346623e-03	9.47452989	316.03629918	2.565468487437e-18	1.483673892358e+01
2.9163895314e-03	9.59446065	320.03675866	3.238995843280e-18	1.873191424359e+01
2.9528444005e-03	9.71439141	324.03721814	4.356471764395e-18	2.519455394319e+01
2.9892992697e-03	9.83432217	328.03767763	6.307209402998e-18	3.647615229221e+01
3.0257541388e-03	9.95425293	332.03813711	9.995179577968e-18	5.780459616588e+01
3.0622090080e-03	10.07418369	336.03859659	1.781613919341e-17	1.030351404171e+02
3.0986638771e-03	10.19411444	340.03905607	3.762480523371e-17	2.175935565129e+02
3.1351187463e-03	10.31404520	344.03951556	1.081819969390e-16	6.256432509990e+02
3.1715736154e-03	10.43397596	348.03997504	7.747517397718e-16	4.480580973757e+03
3.2080284845e-03	10.55390672	352.04043452	1.730731412427e-13	1.000924791661e+06
3.2444833537e-03	10.67383748	356.04089401	1.058959128494e-01	6.124222611638e+17
3.2809382228e-03	10.79376823	360.04135349	3.326288819126e-01	1.923675111796e+18
3.3173930920e-03	10.91369899	364.04181297	6.248282393057e-01	3.613536281601e+18
3.3538479611e-03	11.03362975	368.04227246	7.748425303227e-01	4.481106037973e+18
3.3903028303e-03	11.15356051	372.04273194	8.863416973569e-01	5.125933304254e+18
3.4267576994e-03	11.27349127	376.04319142	1.108544566677e+00	6.410987467388e+18
3.4632125685e-03	11.39342203	380.04365091	1.108308477249e+00	6.409622103822e+18
3.4996674377e-03	11.51335278	384.04411039	9.974492284569e-01	5.768495643041e+18
3.5361223068e-03	11.63328354	388.04456987	9.974634763871e-01	5.768578042346e+18
3.5725771760e-03	11.75321430	392.04502936	8.859703831564e-01	5.123785902374e+18
3.6090320451e-03	11.87314506	396.04548884	8.862767186164e-01	5.125557516122e+18
3.6454869143e-03	11.99307582	400.04594832	7.751574461030e-01	4.482927273836e+18
3.6819417834e-03	12.11300657	404.04640781	7.744286014667e-01	4.478712184998e+18
3.7183966525e-03	12.23293733	408.04686729	6.632726697181e-01	3.835869933286e+18
3.7548515217e-03	12.35286809	412.04732677	5.137914308125e-01	2.971382949144e+18
3.7913063908e-03	12.47279885	416.04778626	9.892416781197e-01	5.721029349009e+18
3.8277612600e-03	12.59272961	420.04824574	1.649340773860e+00	9.538545718883e+18
3.8642161291e-03	12.71266037	424.04870522	9.924985101284e-01	5.739864414210e+18
3.9006709983e-03	12.83259112	428.04916471	1.099628161925e+00	6.359421692916e+18
