# freq_cm^-1	transmission_x	transmission_y
176.02021726	1.995602793870e+00	1.663628387840e+00
180.02067675	2.109143654518e+00	1.774362419547e+00
184.02113623	1.887083157099e+00	1.774336868270e+00
188.02159571	2.324624408983e+00	1.773689944154e+00
192.02205520	2.220312328923e+00	1.440633529840e+00
196.02251468	2.219384041993e+00	8.873731903941e-01
200.02297416	1.998490798870e+00	1.218458448562e+00
204.02343364	1.998644071763e+00	1.220503265892e+00
208.02389313	1.887704786737e+00	9.992186472896e-01
212.02435261	1.665709962854e+00	9.990904724796e-01
216.02481209	1.554632364812e+00	9.988268764154e-01
220.02527158	2.109214362505e+00	9.985096031942e-01
224.02573106	2.441477652145e+00	9.195654479716e-01
228.02619054	1.998815992511e+00	6.661408360689e-01
232.02665003	1.998696354014e+00	7.770398415975e-01
236.02710951	1.998639473141e+00	7.769311259110e-01
240.02756899	1.998507053329e+00	7.767944722410e-01
244.02802848	1.998505754002e+00	7.753385904278e-01
248.02848796	1.998193286833e+00	7.824503600832e-01
252.02894744	1.998145845230e+00	7.764446159019e-01
256.02940693	1.997226376847e+00	7.750628869528e-01
260.02986641	1.884703508267e+00	7.748922072112e-01
264.03032589	1.098977021963e+00	7.697794583837e-01
268.03078538	1.466382321085e-01	2.140806670795e-01
272.03124486	1.070043866388e-11	6.905663786387e-13
276.03170434	7.849255416797e-13	2.582043144092e-15
280.03216383	1.188385496276e-13	1.748498667610e-16
284.03262331	2.628388276091e-14	3.559089322341e-17
288.03308279	7.438415849063e-15	1.095964882692e-17
292.03354228	2.514916923161e-15	4.634991282095e-18
296.03400176	9.755231787336e-16	2.679027879198e-18
300.03446124	4.231955414829e-16	2.031194605117e-18
304.03492073	2.020030675232e-16	1.863242247614e-18
308.03538021	1.050919779019e-16	1.926151839994e-18
312.03583969	5.943039942395e-17	2.154961510284e-18
316.03629918	3.680987491047e-17	2.565468487437e-18
320.03675866	2.569914392668e-17	3.238995843280e-18
324.03721814	2.177368250869e-17	4.356471764395e-18
328.03767763	2.569232162749e-17	6.307209402998e-18
332.03813711	4.815533087942e-17	9.995179577968e-18
336.03859659	1.446982773869e-16	1.781613919341e-17
340.03905607	6.741468708967e-16	3.762480523371e-17
344.03951556	5.242146403717e-15	1.081819969390e-16
348.03997504	9.098970632230e-14	7.747517397718e-16
352.04043452	9.526235749537e-12	1.730731412427e-13
356.04089401	3.830700724031e-01	1.058959128494e-01
360.04135349	6.626916757083e-01	3.326288819126e-01
364.04181297	1.099687092752e+00	6.248282393057e-01
368.04227246	1.108626626223e+00	7.748425303227e-01
372.04273194	1.435400053890e+00	8.863416973569e-01
376.04319142	1.652139544928e+00	1.108544566677e+00
380.04365091	1.551725805653e+00	1.108308477249e+00
384.04411039	1.442309063788e+00	9.974492284569e-01
388.04456987	1.441289491447e+00	9.974634763871e-01
392.04502936	1.331868776084e+00	8.859703831564e-01
396.04548884	1.331267303120e+00	8.862767186164e-01
400.04594832	1.221089050547e+00	7.751574461030e-01
404.04640781	1.220894769204e+00	7.744286014667e-01
408.04686729	1.216300324928e+00	6.632726697181e-01
412.04732677	1.110038681891e+00	5.137914308125e-01
416.04778626	1.538267884070e+00	9.892416781197e-01
420.04824574	2.986637612993e+00	1.649340773860e+00
424.04870522	4.097718334294e+00	9.924985101284e-01
428.04916471	3.548160073045e+00	1.099628161925e+00
432.04962419	3.212876491312e+00	1.187420146434e+00
436.05008367	2.216122453517e+00	1.765433675983e+00
440.05054316	2.218104174722e+00	1.550881343610e+00
444.05100264	3.546189109595e+00	1.421492785946e+00
448.05146212	2.882413980848e+00	9.528071913406e-01
452.05192161	1.992738426431e+00	1.108576213231e-01
456.05238109	1.733435545240e+00	4.231845366760e-01
460.05284057	7.508102284624e-01	1.108983537537e-01
464.05330006	5.420335195053e-01	1.108275767234e-01
468.05375954	3.074144960875e-01	1.102756115725e-01
472.05421902	2.674948707970e-10	3.036798048312e-15
476.05467850	4.003140757446e-12	7.867668006831e-18
