# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode15	mode16	mode17	mode18	mode19	mode20	mode21	mode22	mode23	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1	mode15_cm1	mode16_cm1	mode17_cm1	mode18_cm1	mode19_cm1	mode20_cm1	mode21_cm1	mode22_cm1	mode23_cm1
2.7601978008e+00	8.7859824781e-01	4.565540611285e-04	5.188632322297e-04	6.046908439028e-04	6.633456543155e-04	8.869079245091e-04	1.103791007812e-03	1.426148375151e-03	1.454285278302e-03	1.498470219640e-03	1.516483786350e-03	2.203175216024e-03	2.286619596397e-03	4.732636247362e-03	4.733132574865e-03	4.741040381316e-03	4.741714787398e-03	4.947664266183e-03	5.044893932158e-03	5.081867731975e-03	5.083374015997e-03	5.107323803902e-03	5.114300456560e-03	5.512102903191e-03	5.515460423373e-03	50.10101713	56.93865831	66.35715003	72.79377147	97.32689489	121.12706227	156.50169445	159.58936268	164.43809953	166.41485999	241.77053418	250.92749649	519.34679788	519.40126353	520.26904498	520.34305250	542.94339547	553.61311801	557.67052356	557.83581912	560.46400456	561.22960369	604.88337636	605.25182161
2.7641297065e+00	8.7984981227e-01	4.573545195302e-04	5.196255355478e-04	6.039573385945e-04	6.626183151564e-04	8.880610521208e-04	1.102710261236e-03	1.426556537127e-03	1.454641172999e-03	1.498134542912e-03	1.516199154904e-03	2.203651487892e-03	2.286236521687e-03	4.732639952750e-03	4.733130382524e-03	4.741045954798e-03	4.741713627703e-03	4.948136839551e-03	5.044372459744e-03	5.081874023369e-03	5.083365208685e-03	5.107360530256e-03	5.114266003216e-03	5.512145813267e-03	5.515464634819e-03	50.18885729	57.02231143	66.27665712	72.71395523	97.45343602	121.00846404	156.54648505	159.62841761	164.40126327	166.38362530	241.82279898	250.88545890	519.34720450	519.40102295	520.26965660	520.34292524	542.99525440	553.55589303	557.67121396	557.83485263	560.46803481	561.22582288	604.88808519	605.25228376
2.7680616122e+00	8.8110137672e-01	4.581544971911e-04	5.203876522220e-04	6.032235712447e-04	6.618907943264e-04	8.892138422989e-04	1.101629112903e-03	1.426964350720e-03	1.454996709550e-03	1.497798463582e-03	1.515914143705e-03	2.204127290549e-03	2.285852949698e-03	4.732643636463e-03	4.733128193023e-03	4.741051509522e-03	4.741712442441e-03	4.948609795909e-03	5.043851110462e-03	5.081880334442e-03	5.083356407721e-03	5.107397258614e-03	5.114231527390e-03	5.512188416500e-03	5.515468666045e-03	50.27664469	57.10594407	66.19613546	72.63411904	97.57994012	120.88982173	156.59123742	159.66743323	164.36438283	166.35234893	241.87501229	250.84336674	519.34760874	519.40078268	520.27026616	520.34279517	543.04715536	553.49868156	557.67190652	557.83388684	560.47206528	561.22203959	604.89276036	605.25272614
2.7719935179e+00	8.8235294118e-01	4.589539962694e-04	5.211495823978e-04	6.024895413081e-04	6.611630918746e-04	8.903662945058e-04	1.100547563003e-03	1.427371815646e-03	1.455351887833e-03	1.497461981929e-03	1.515628752857e-03	2.204602623860e-03	2.285468880586e-03	4.732647298687e-03	4.733126006278e-03	4.741057045431e-03	4.741711231627e-03	4.949083133893e-03	5.043329885740e-03	5.081886665128e-03	5.083347613175e-03	5.107433988729e-03	5.114197029185e-03	5.512230713519e-03	5.515472516384e-03	50.36437957	57.18955624	66.11558499	72.55426293	97.70640713	120.77113534	156.63595153	159.70640954	164.32745823	166.32103091	241.92717409	250.80122003	519.34801063	519.40054271	520.27087366	520.34266230	543.09909820	553.44148376	557.67260123	557.83292175	560.47609595	561.21825385	604.89740192	605.25314866
2.7759254236e+00	8.8360450563e-01	4.597530189060e-04	5.219113262186e-04	6.017552482360e-04	6.604352078497e-04	8.915184082065e-04	1.099465611729e-03	1.427778931624e-03	1.455706707728e-03	1.497125098228e-03	1.515342982463e-03	2.205077487693e-03	2.285084314507e-03	4.732650939603e-03	4.733123822204e-03	4.741062562469e-03	4.741709995274e-03	4.949556852144e-03	5.042808787000e-03	5.081893015358e-03	5.083338825116e-03	5.107470720360e-03	5.114162508700e-03	5.512272704954e-03	5.515476185166e-03	50.45206217	57.27314796	66.03500564	72.47438689	97.83283700	120.65240492	156.68062734	159.74534653	164.29048952	166.28967123	241.97928437	250.75901878	519.34841017	519.40030304	520.27147908	520.34252662	543.15108277	553.38429978	557.67329809	557.83195737	560.48012678	561.21446567	604.90200995	605.25355127
2.7798573293e+00	8.8485607009e-01	4.605515672235e-04	5.226728838259e-04	6.010206914759e-04	6.597071422999e-04	8.926701828692e-04	1.098383259273e-03	1.428185698372e-03	1.456061169113e-03	1.496787812758e-03	1.515056832625e-03	2.205551881913e-03	2.284699251617e-03	4.732654559394e-03	4.733121640719e-03	4.741068060578e-03	4.741708733395e-03	4.950030949302e-03	5.042287815663e-03	5.081899385065e-03	5.083330043614e-03	5.107507453271e-03	5.114127966038e-03	5.512314391439e-03	5.515479671720e-03	50.53969272	57.35671925	65.95439735	72.39449093	97.95922966	120.53363046	156.72526483	159.78424417	164.25347672	166.25826992	242.03134312	250.71676301	519.34880740	519.40006365	520.27208243	520.34238815	543.20310892	553.32712979	557.67399708	557.83099371	560.48415775	561.21067505	604.90658451	605.25393387
2.7837892350e+00	8.8610763454e-01	4.613496433273e-04	5.234342553591e-04	6.002858704722e-04	6.589788952728e-04	8.938216179650e-04	1.097300505827e-03	1.428592115606e-03	1.456415271868e-03	1.496450125796e-03	1.514770303447e-03	2.206025806386e-03	2.284313692070e-03	4.732658158241e-03	4.733119461736e-03	4.741073539703e-03	4.741707446004e-03	4.950505424006e-03	5.041766973144e-03	5.081905774181e-03	5.083321268738e-03	5.107544187231e-03	5.114093401298e-03	5.512355773604e-03	5.515482975379e-03	50.62727145	57.44027012	65.87376007	72.31457506	98.08558505	120.41481201	156.76986397	159.82310245	164.21641986	166.22682697	242.08335032	250.67445274	519.34920232	519.39982453	520.27268370	520.34224687	543.25517650	553.26997393	557.67469821	557.83003078	560.48818883	561.20688200	604.91112568	605.25429641
2.7877211407e+00	8.8735919900e-01	4.621472493053e-04	5.241954409561e-04	5.995507846652e-04	6.582504668156e-04	8.949727129678e-04	1.096217351586e-03	1.428998183046e-03	1.456769015872e-03	1.496112037620e-03	1.514483395032e-03	2.206499260979e-03	2.283927636022e-03	4.732661736324e-03	4.733117285170e-03	4.741078999787e-03	4.741706133116e-03	4.950980274896e-03	5.041246260853e-03	5.081912182637e-03	5.083312500557e-03	5.107580922011e-03	5.114058814582e-03	5.512396852082e-03	5.515486095472e-03	50.71479859	57.52380058	65.79309372	72.23463927	98.21190313	120.29594957	156.81442472	159.86192137	164.17931897	166.19534242	242.13530595	250.63208799	519.34959497	519.39958568	520.27328287	520.34210280	543.30728536	553.21283236	557.67540145	557.82906858	560.49222001	561.20308655	604.91563352	605.25463880
2.7916530464e+00	8.8861076345e-01	4.629443872284e-04	5.249564407525e-04	5.988154334919e-04	6.575218569750e-04	8.961234673546e-04	1.095133796747e-03	1.429403900407e-03	1.457122401003e-03	1.495773548507e-03	1.514196107485e-03	2.206972245557e-03	2.283541083629e-03	4.732665293824e-03	4.733115110937e-03	4.741084440774e-03	4.741704794744e-03	4.951455500613e-03	5.040725680199e-03	5.081918610366e-03	5.083303739141e-03	5.107617657390e-03	5.114024205991e-03	5.512437627506e-03	5.515489031329e-03	50.80227436	57.60731066	65.71239826	72.15468359	98.33818383	120.17704317	156.85894706	159.90070091	164.14217408	166.16381625	242.18721001	250.58966877	519.34998536	519.39934709	520.27387995	520.34195593	543.35943536	553.15570523	557.67610681	557.82810713	560.49625125	561.19928870	604.92010811	605.25496097
2.7955849521e+00	8.8986232791e-01	4.637410591500e-04	5.257172548824e-04	5.980798163855e-04	6.567930657972e-04	8.972738806052e-04	1.094049841505e-03	1.429809267409e-03	1.457475427142e-03	1.495434658736e-03	1.513908440909e-03	2.207444759985e-03	2.283154035046e-03	4.732668830919e-03	4.733112938949e-03	4.741089862608e-03	4.741703430903e-03	4.951931099796e-03	5.040205232586e-03	5.081925057299e-03	5.083294984558e-03	5.107654393147e-03	5.113989575627e-03	5.512478100510e-03	5.515491782280e-03	50.88969900	57.69080036	65.63167361	72.07470800	98.46442709	120.05809283	156.90343094	159.93944105	164.10498523	166.13224849	242.23906248	250.54719509	519.35037352	519.39910874	520.27447493	520.34180627	543.41162633	553.09859271	557.67681428	557.82714642	560.50028253	561.19548845	604.92454950	605.25526285
